;ï»¿ID;Gemeentecode;Perioden;TotaleBevolking_1;Gemeentenaam
209;13479;815;2018JJ00;10831.0;Mill en Sint Hubert
210;13537;1709;2018JJ00;36967.0;Moerdijk
211;13624;1927;2018JJ00;29295.0;Molenwaard
212;13682;1955;2018JJ00;35627.0;Montferland
213;13711;335;2018JJ00;13879.0;Montfoort
214;13740;944;2018JJ00;7768.0;Mook en Middelaar
215;13885;1740;2018JJ00;23615.0;Neder-Betuwe
216;13972;946;2018JJ00;17038.0;Nederweert
217;14030;304;2018JJ00;12397.0;Neerijnen
218;14088;356;2018JJ00;62426.0;Nieuwegein
219;14175;569;2018JJ00;28269.0;Nieuwkoop
220;14349;267;2018JJ00;42307.0;Nijkerk
221;14378;268;2018JJ00;175948.0;Nijmegen
222;14407;1930;2018JJ00;84593.0;Nissewaard
223;14465;1695;2018JJ00;7314.0;Noord-Beveland
224;14494;1699;2018JJ00;32370.0;Noordenveld
225;14552;171;2018JJ00;46625.0;Noordoostpolder
226;14581;575;2018JJ00;26056.0;Noordwijk
227;14610;576;2018JJ00;16605.0;Noordwijkerhout
228;14697;820;2018JJ00;23019.0;Nuenen, Gerwen en Nederwetten
229;14726;302;2018JJ00;27114.0;Nunspeet
230;14755;951;2018JJ00;15201.0;Nuth
231;14842;579;2018JJ00;23887.0;Oegstgeest
232;14871;823;2018JJ00;18558.0;Oirschot
233;14900;824;2018JJ00;26132.0;Oisterwijk
234;14929;1895;2018JJ00;38075.0;Oldambt
235;14958;269;2018JJ00;23504.0;Oldebroek
236;14987;173;2018JJ00;31915.0;Oldenzaal
237;15045;1773;2018JJ00;18023.0;Olst-Wijhe
238;15074;175;2018JJ00;17630.0;Ommen
239;15103;881;2018JJ00;7857.0;Onderbanken
240;15132;1586;2018JJ00;29672.0;Oost Gelre
241;15248;826;2018JJ00;55147.0;Oosterhout
242;15306;85;2018JJ00;25459.0;Ooststellingwerf
243;15335;431;2018JJ00;9735.0;Oostzaan
244;15393;432;2018JJ00;11526.0;Opmeer
245;15422;86;2018JJ00;29753.0;Opsterland
246;15451;828;2018JJ00;90951.0;Oss
247;15538;584;2018JJ00;24301.0;Oud-Beijerland
248;15567;1509;2018JJ00;39520.0;Oude IJsselstreek
249;15625;437;2018JJ00;13496.0;Ouder-Amstel
250;15683;589;2018JJ00;10180.0;Oudewater
251;15712;1734;2018JJ00;47481.0;Overbetuwe
252;15741;590;2018JJ00;32264.0;Papendrecht
253;15770;1894;2018JJ00;43312.0;Peel en Maas
254;15828;765;2018JJ00;12245.0;Pekela
255;15886;1926;2018JJ00;53634.0;Pijnacker-Nootdorp
256;15944;439;2018JJ00;79983.0;Purmerend
257;16002;273;2018JJ00;24313.0;Putten
258;16031;177;2018JJ00;37158.0;Raalte
259;16176;703;2018JJ00;22555.0;Reimerswaal
260;16205;274;2018JJ00;31338.0;Renkum
261;16234;339;2018JJ00;5175.0;Renswoude
262;16292;1667;2018JJ00;13040.0;Reusel-De Mierden
263;16321;275;2018JJ00;43527.0;Rheden
264;16350;340;2018JJ00;19816.0;Rhenen
265;16379;597;2018JJ00;45789.0;Ridderkerk
266;16582;1742;2018JJ00;38097.0;Rijssen-Holten
267;16611;603;2018JJ00;52208.0;Rijswijk
268;16669;1669;2018JJ00;20728.0;Roerdalen
269;16698;957;2018JJ00;57761.0;Roermond
270;16785;736;2018JJ00;43620.0;De Ronde Venen
271;16814;1674;2018JJ00;77000.0;Roosendaal
272;16930;599;2018JJ00;638712.0;Rotterdam
273;16988;277;2018JJ00;1575.0;Rozendaal
274;17017;840;2018JJ00;22401.0;Rucphen
275;17191;441;2018JJ00;46379.0;Schagen
276;17278;279;2018JJ00;9751.0;Scherpenzeel
277;17307;606;2018JJ00;77907.0;Schiedam
278;17336;88;2018JJ00;932.0;Schiermonnikoog
279;17394;962;2018JJ00;12911.0;Schinnen
280;17539;1676;2018JJ00;33687.0;Schouwen-Duiveland
281;17597;965;2018JJ00;10561.0;Simpelveld
282;17626;1702;2018JJ00;11577.0;Sint Anthonis
283;17655;845;2018JJ00;28673.0;Sint-Michielsgestel
284;17742;1883;2018JJ00;92956.0;Sittard-Geleen
285;17829;610;2018JJ00;25020.0;Sliedrecht
286;17887;1714;2018JJ00;23526.0;Sluis
287;17945;90;2018JJ00;55889.0;Smallingerland
288;18032;342;2018JJ00;46089.0;Soest
289;18061;847;2018JJ00;19120.0;Someren
290;18090;848;2018JJ00;16753.0;Son en Breugel
291;18235;37;2018JJ00;32258.0;Stadskanaal
292;18293;180;2018JJ00;16797.0;Staphorst
