ID;GemeentecodeGM;Perioden;TotaleBevolking_1
9941;GM0253;2018JJ00;
9970;GM0799;2018JJ00;
9999;GM1735;2018JJ00;34930
10028;GM1966;2018JJ00;
10057;GM1911;2018JJ00;47681
10086;GM0165;2018JJ00;
10115;GM0675;2018JJ00;
10144;GM0801;2018JJ00;
10173;GM0802;2018JJ00;
10202;GM0800;2018JJ00;
10231;GM0118;2018JJ00;55677
10260;GM0018;2018JJ00;
10289;GM0405;2018JJ00;72806
10318;GM0923;2018JJ00;
10347;GM1507;2018JJ00;42271
10376;GM0321;2018JJ00;49579
10405;GM0803;2018JJ00;
10434;GM0255;2018JJ00;
10463;GM0406;2018JJ00;41369
10492;GM0677;2018JJ00;27472
10521;GM0256;2018JJ00;
10550;GM0925;2018JJ00;
10579;GM0195;2018JJ00;
10608;GM0191;2018JJ00;
10637;GM0353;2018JJ00;34302
10666;GM0645;2018JJ00;
10695;GM1884;2018JJ00;26625
10724;GM0166;2018JJ00;53259
10753;GM0678;2018JJ00;12720
10782;GM0537;2018JJ00;64956
10811;GM0928;2018JJ00;45823
10840;GM0257;2018JJ00;
10869;GM0929;2018JJ00;
10898;GM0258;2018JJ00;
10927;GM0804;2018JJ00;
10956;GM1598;2018JJ00;22659
10985;GM0079;2018JJ00;12827
11014;GM0588;2018JJ00;11097
11043;GM0542;2018JJ00;29306
11072;GM1931;2018JJ00;55644
11101;GM1659;2018JJ00;22158
11130;GM1982;2018JJ00;
11159;GM1685;2018JJ00;15332
11188;GM0882;2018JJ00;37612
11217;GM0415;2018JJ00;11435
11246;GM0325;2018JJ00;
11275;GM0416;2018JJ00;27836
11304;GM1621;2018JJ00;61155
11333;GM0417;2018JJ00;11146
11362;GM0022;2018JJ00;19669
11391;GM0805;2018JJ00;
11420;GM0545;2018JJ00;21030
11449;GM0326;2018JJ00;
11478;GM0080;2018JJ00;122415
11507;GM0081;2018JJ00;
11536;GM0546;2018JJ00;124306
11565;GM0547;2018JJ00;27197
11594;GM0548;2018JJ00;
11623;GM1916;2018JJ00;74947
11652;GM0995;2018JJ00;77389
11681;GM0082;2018JJ00;
11710;GM1640;2018JJ00;35857
11739;GM0327;2018JJ00;29755
11768;GM0260;2018JJ00;
11797;GM1673;2018JJ00;
11826;GM0806;2018JJ00;
11855;GM0261;2018JJ00;
11884;GM0552;2018JJ00;
11913;GM0807;2018JJ00;
11942;GM0694;2018JJ00;
11971;GM0418;2018JJ00;
12000;GM0733;2018JJ00;11134
12029;GM1705;2018JJ00;46372
12058;GM0553;2018JJ00;22746
12087;GM0808;2018JJ00;
12116;GM0140;2018JJ00;
12145;GM0262;2018JJ00;33574
12174;GM0329;2018JJ00;
12203;GM0809;2018JJ00;23120
12232;GM0330;2018JJ00;
12261;GM0331;2018JJ00;14395
12290;GM0024;2018JJ00;9732
12319;GM0168;2018JJ00;22547
12348;GM0810;2018JJ00;
12377;GM0811;2018JJ00;
12406;GM0332;2018JJ00;
12435;GM0333;2018JJ00;
12464;GM0334;2018JJ00;
12493;GM0933;2018JJ00;
12522;GM0934;2018JJ00;
12551;GM1671;2018JJ00;
12580;GM0263;2018JJ00;24350
12609;GM1641;2018JJ00;23697
12638;GM1991;2018JJ00;
12667;GM0555;2018JJ00;
12696;GM0556;2018JJ00;32518
12725;GM0935;2018JJ00;122723
12754;GM1665;2018JJ00;
12783;GM0812;2018JJ00;
12812;GM0936;2018JJ00;
12841;GM0686;2018JJ00;
12870;GM0169;2018JJ00;
12899;GM1663;2018JJ00;10058
12928;GM0025;2018JJ00;10488
12957;GM0264;2018JJ00;
12986;GM0420;2018JJ00;44480
13015;GM0993;2018JJ00;
13044;GM0938;2018JJ00;19039
13073;GM1948;2018JJ00;80148
13102;GM0941;2018JJ00;
13131;GM0083;2018JJ00;
13160;GM1908;2018JJ00;
13189;GM1987;2018JJ00;
13218;GM0119;2018JJ00;33410
13247;GM0687;2018JJ00;48303
13276;GM0559;2018JJ00;
13305;GM1842;2018JJ00;19338
13334;GM1731;2018JJ00;33172
13363;GM1952;2018JJ00;60953
13392;GM0688;2018JJ00;
13421;GM1697;2018JJ00;
13450;GM0814;2018JJ00;
13479;GM0815;2018JJ00;10831
13508;GM0265;2018JJ00;
13537;GM1709;2018JJ00;36967
13566;GM0816;2018JJ00;
13595;GM1978;2018JJ00;
13624;GM1927;2018JJ00;29295
13653;GM0562;2018JJ00;
